season,player,pfr_id,tm,age,pos,g,gs,att,yds,td,x1d,ybc,ybc_att,yac,yac_att,brk_tkl,att_br,loaded
2022,Benny Snell,SnelBe00,PIT,24.0,RB,17.0,0.0,20.0,90.0,1.0,6.0,54.0,2.7,36.0,1.8,0.0,,2023-08-28
2022,Travis Homer,HomeTr00,SEA,24.0,RB,10.0,1.0,19.0,74.0,0.0,4.0,42.0,2.2,32.0,1.7,1.0,19.0,2023-08-28
2022,Bryce Perkins,PerkBr02,LA,26.0,QB,5.0,1.0,19.0,90.0,0.0,6.0,53.0,2.8,37.0,1.9,0.0,,2023-08-28
2022,Mitchell Trubisky,TrubMi00,PIT,28.0,QB,7.0,5.0,19.0,38.0,2.0,7.0,23.0,1.2,15.0,0.8,1.0,19.0,2023-08-28
2022,Malcolm Brown,BrowMa03,LA,29.0,RB,11.0,0.0,18.0,81.0,1.0,3.0,62.0,3.4,19.0,1.1,2.0,9.0,2023-08-28
2022,Kevin Harris,HarrKe01,NE,22.0,RB,5.0,1.0,18.0,52.0,1.0,3.0,29.0,1.6,23.0,1.3,3.0,6.0,2023-08-28
2022,Isaiah Spiller,SpilIs00,LAC,21.0,RB,6.0,0.0,18.0,41.0,0.0,2.0,17.0,0.9,24.0,1.3,0.0,,2023-08-28
2022,Brandon Bolden,BoldBr00,LV,32.0,RB,16.0,0.0,17.0,66.0,0.0,3.0,50.0,2.9,16.0,0.9,0.0,,2023-08-28
2022,Sam Ehlinger,EhliSa00,IND,24.0,QB,4.0,3.0,17.0,87.0,0.0,5.0,80.0,4.7,7.0,0.4,0.0,,2023-08-28
2022,Ronald Jones,JoneRo01,KC,25.0,RB,6.0,0.0,17.0,70.0,1.0,4.0,47.0,2.8,23.0,1.4,1.0,17.0,2023-08-28
2022,Jaret Patterson,PattJa01,WAS,23.0,RB,3.0,0.0,17.0,78.0,0.0,3.0,40.0,2.4,38.0,2.2,0.0,,2023-08-28
2022,Brandon Powell,PoweBr00,LA,27.0,WR,17.0,6.0,17.0,80.0,0.0,6.0,51.0,3.0,29.0,1.7,0.0,,2023-08-28
2022,KeShawn Vaughn,VaugKe00,TB,25.0,RB,15.0,0.0,17.0,53.0,0.0,3.0,41.0,2.4,12.0,0.7,1.0,17.0,2023-08-28
2022,Zamir White,WhitZa01,LV,23.0,RB,14.0,0.0,17.0,70.0,0.0,4.0,39.0,2.3,31.0,1.8,0.0,,2023-08-28
2022,Trey Lance,LancTr00,SF,22.0,QB,2.0,2.0,16.0,67.0,0.0,7.0,50.0,3.1,17.0,1.1,2.0,8.0,2023-08-28
2022,Marlon Mack,MackMa00,2TM,26.0,,8.0,0.0,16.0,84.0,1.0,4.0,61.0,3.8,23.0,1.4,2.0,8.0,2023-08-28
