Date_Time,Away_Team,Home_Team,Away_Score,Home_Score,Temperature,Weather_Condition
11/17/22 08:15 PM EST,Titans,Packers,27,17,25 °F,Mostly Cloudy
11/20/22 01:00 PM EST,Bears,Falcons,24,27,41 °F,Overcast
11/20/22 01:00 PM EST,Browns,Bills,23,31,26 °F,Light Snow
11/20/22 01:00 PM EST,Eagles,Colts,17,16,27 °F,Clear
11/20/22 01:00 PM EST,Jets,Patriots,3,10,38 °F,Clear
11/20/22 01:00 PM EST,Rams,Saints,20,27,49 °F,Clear
11/20/22 01:00 PM EST,Lions,Giants,31,18,37 °F,Clear
11/20/22 01:00 PM EST,Panthers,Ravens,3,13,35 °F,Clear
11/20/22 01:00 PM EST,Washington,Texans,23,10,47 °F,Partly Cloudy
11/20/22 04:05 PM EST,Raiders,Broncos,22,16,45 °F,Foggy
11/20/22 04:25 PM EST,Cowboys,Vikings,40,3,29 °F,Snow
11/20/22 04:25 PM EST,Chiefs,Chargers,30,27,77 °F,Clear
11/20/22 08:20 PM EST,Bengals,Steelers,37,30,27 °F,Clear
11/21/22 08:00 PM EST,49ers,Cardinals,38,10,60 °F,Overcast
11/24/22 12:30 PM EST,Bills,Lions,28,25,46 °F,Partly Cloudy
11/24/22 04:30 PM EST,Giants,Cowboys,20,28,59 °F,Rain
11/24/22 08:20 PM EST,Patriots,Vikings,26,33,35 °F,Clear
11/27/22 01:00 PM EST,Buccaneers,Browns,17,23,54 °F,Overcast
11/27/22 01:00 PM EST,Bengals,Titans,20,16,53 °F,Mostly Cloudy
11/27/22 01:00 PM EST,Texans,Dolphins,15,30,83 °F,Humid And Mostly Cloudy
11/27/22 01:00 PM EST,Bears,Jets,10,31,51 °F,Overcast
11/27/22 01:00 PM EST,Falcons,Washington,13,19,48 °F,Rain
11/27/22 01:00 PM EST,Broncos,Panthers,10,23,63 °F,Mostly Cloudy
11/27/22 01:00 PM EST,Ravens,Jaguars,27,28,76 °F,Overcast
11/27/22 04:05 PM EST,Chargers,Cardinals,25,24,65 °F,Clear
11/27/22 04:05 PM EST,Raiders,Seahawks,40,34,45 °F,Mostly Cloudy
11/27/22 04:25 PM EST,Rams,Chiefs,10,26,45 °F,Partly Cloudy
11/27/22 04:25 PM EST,Saints,49ers,0,13,65 °F,Mostly Cloudy
